"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"incendios.nlogox"
"experimento_01"
"03/09/2026 11:32:32:568 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","densidad","[step]","porcentaje_quemado"
"2","0.1","3","10.251798561151078"
"4","0.1","2","10.304659498207885"
"6","0.1","3","9.703504043126685"
"7","0.1","3","9.613656783468103"
"9","0.1","2","10.27027027027027"
"8","0.1","3","10.261026102610261"
"10","0.1","5","10.23339317773788"
"11","0.2","5","6.544256120527307"
"13","0.2","4","6.029203956665096"
"5","0.1","3","10.20776874435411"
"3","0.1","2","9.54095409540954"
"15","0.2","3","5.555555555555555"
"14","0.2","4","5.741176470588235"
"12","0.2","7","6.129184347006129"
"16","0.2","5","6.300331596399811"
"17","0.2","5","6.226415094339623"
"22","0.3","13","5.496963886225631"
"21","0.3","11","6.002554278416347"
"18","0.2","3","6.073446327683616"
"23","0.3","9","5.2329291640076585"
"26","0.3","5","5.271565495207668"
"19","0.2","8","6.364922206506366"
"24","0.3","15","5.115089514066496"
"27","0.3","10","4.722399489470326"
"20","0.2","5","5.937794533459001"
"30","0.3","9","5.25812619502868"
"29","0.3","5","4.418828049951969"
"1","0.1","2","10.379061371841155"
"25","0.3","12","5.363984674329502"
"28","0.3","6","4.719387755102041"
"32","0.4","9","4.523463957426221"
"31","0.4","9","4.807924619473303"
"33","0.4","14","5.937726285300507"
"36","0.4","14","4.374093765103915"
"38","0.4","14","5.868147790388795"
"39","0.4","10","4.586048756939416"
"40","0.4","8","4.367760617760618"
"35","0.4","14","4.67695274831244"
"37","0.4","17","5.720492396813903"
"41","0.5","35","8.530897784687136"
"42","0.5","17","6.002331002331003"
"46","0.5","18","5.909707421042434"
"45","0.5","17","5.9142912546053905"
"47","0.5","24","8.624708624708624"
"43","0.5","62","10.415050426687355"
"50","0.5","33","7.762468464971861"
"48","0.5","28","7.16504854368932"
"44","0.5","46","9.13508260447036"
"49","0.5","48","11.095996890788962"
"51","0.6","130","40.55898602534936"
"53","0.6","193","54.47167667586431"
"52","0.6","235","55.109666937449234"
"56","0.6","186","39.67506092607636"
"59","0.6","36","11.3603120429059"
"57","0.6","141","39.90267639902677"
"34","0.4","10","4.8839458413926495"
"61","0.7","149","98.05122494432071"
"55","0.6","266","76.25770853618955"
"54","0.6","236","64.83981135143925"
"63","0.7","149","97.58817788930713"
"60","0.6","252","61.62091927886958"
"67","0.7","139","96.89025240552223"
"68","0.7","144","97.9640217542881"
"58","0.6","256","71.25"
"64","0.7","148","97.0059880239521"
"66","0.7","144","98.20359281437125"
"65","0.7","146","98.03264964420259"
"69","0.7","142","98.0323751046609"
"72","0.8","123","99.82880899975544"
"70","0.7","146","98.29680301549631"
"74","0.8","122","99.79212521398875"
"73","0.8","124","99.75550122249389"
"75","0.8","121","99.73118279569893"
"77","0.8","121","99.82870427015784"
"76","0.8","125","99.73121563836285"
"79","0.8","122","99.75556098753361"
"80","0.8","123","99.64543342706932"
"71","0.8","121","99.79227761485826"
"78","0.8","123","99.73101846191466"
"81","0.9","113","99.98911623857205"
"83","0.9","111","99.97823010776096"
"82","0.9","112","100"
"84","0.9","111","99.94559895549995"
"87","0.9","112","100"
"85","0.9","112","99.97822536744692"
"86","0.9","112","99.98912452419793"
"88","0.9","111","99.97824194952132"
"90","0.9","111","99.98911268372346"
"92","1","101","100"
"93","1","101","100"
"89","0.9","112","100"
"94","1","101","100"
"91","1","101","100"
"96","1","101","100"
"98","1","101","100"
"95","1","101","100"
"97","1","101","100"
"100","1","101","100"
"99","1","101","100"
"62","0.7","139","97.95007669781063"
